"2.4.3a Obrestne mere monetarnih finanènih institucij - nova posojila"
"gospodinjstvom v domaèi valuti po spremenljivkah: Datum, Frekvenca ,"
"Postavke"

" ";" ";"Gospodinjstva, stanovanjska posojila, variabilna in do 1 leta fiksna OM";"Gospodinjstva, stanovanjska posojila, fiksna OM nad 1 do 5 let";"Gospodinjstva, stanovanjska  posojila, fiksna OM nad 5 do 10 let";"Gospodinjstva, stanovanjska posojila, fiksna OM nad 10 let";"Gospodinjstva, z. stanovanjska posojila, variabilna in fiksna OM do 1 leta";"Gospodinjstva, z. stanovanjska posojila, fiksna OM nad 1 do 5 let";"Gospodinjstva, z. stanovanjska posojila, fiksna OM nad 5 in do 10 let";"Gospodinjstva, z. stanovanjska posojila, fiksna OM nad 10 let";"Efektivna obrestna mera, stanovanjska posojila"
"obstojeèih depozitov in posojil. Podaljšanje obstojeèih pogodb o "
"depozitih in posojilih, ki se izvede samodejno, tj. brez dejavnega "
"posredovanja gospodinjstva ali nefinanène družbe, in pri katerem se "
"ni treba ponovno pogajati o pogodbenih pogojih, vkljuèno z obrestno "
"mero, se ne šteje za nov posel. Efektivna obrestna mera (APRC) je "
"veljavna aktivna obrestna mera, ki zajema vse stroške posojila "
"potrošniku, tj. plaèila obresti, in tudi druge sorodne stroške. "
"Zajema celotne stroške posojila potrošniku, kakor so opredeljeni v "
"22. in 23 èlenu Zakona o potrošniških kreditih. APRC se doloèa samo "
"za potrošniške kredite in posojila gospodinjstvom za nakup stanovanj "
"(samostojni podjetniki so izkljuèeni). "
"Od 30.06.2010 so na voljo tudi podatki za zavarovana posojila "
"(z.posojila = zavarovana posojila). "
"Metodološka pojasnila se nahajajo v internetni izdaji Biltena BS (od "
"letnika 2007 dalje) v poglavju 2.4 metodoloških opomb. Dostopno na "
"http://www.bsi.si/iskalniki/bilteni.asp?MapaId=229 "

